,name,link,islands,likes/polarity,bio,size,beds,level_available,first_discovered,release_year,inventory,time_limit,breeding_combos
0,Epic Tweedle,https://mysingingmonsters.fandom.com/wiki/Epic_Tweedle,Cold&Air&Water&Earth&Gold&Haven&Oasis&,All:Mi&All:Swurlee Tree&All:Spatial Sapling&All:Ockulo Tree&,"Some say that the Epic Tweedle got a little mixed up in the breeding process. Feet for horns (or horns for feet?), a missing beak, too many eyes, plumeless wings - it all comes together to create an unsettling Epic that lacks the feathery charm of its Common cousin. However, once this avian anomaly hits you with its gummy smile, your heart is sure to be won over in an instant.",2,1,4,danielisamaster,2018,,0,
1,Epic Potbelly,https://mysingingmonsters.fandom.com/wiki/Epic_Potbelly,Plant&Cold&Water&Earth&Shugabush&Gold&Haven&Light&Psychic&,All:Star Rocks&All:Elmenco Stump&All:Striking Bulbs&All:Castanevine&,"Every Common Potbelly shares a deep connection with the pot it calls home. Epic Potbellies, however, take this protective instinct to new heights!  This territorial Elemental is perfectly pleasant... until an unwitting Monster tries to borrow its pot.  Trespassers cause the Epic Potbelly to transform from delightful daisy to snarling snapdragon, baring its fearsome fangs and flapping its mighty wings. Tragically, the stone reinforcements added to its pot make it much too heavy to fly anywhere.",1,1,9,Master kaydan,2018,,0,
2,Epic Noggin,https://mysingingmonsters.fandom.com/wiki/Epic_Noggin,Plant&Air&Water&Earth&Gold&Haven&Faerie&Bone&,Plant Island:Rare Wubbox&Air Island:Rare Wubbox&Water Island:Rare Wubbox&Earth Island:Rare Wubbox&Fire Haven:Kayna&Faerie Island:Kayna&Bone Island:Kayna&All:Givutawai Tree&All:Bingo Bango Bongos&All:Innertuba&,"The lineage of Epic Noggin can be traced to the first Common settlers of Earth Island, the species' Elemental home. While many Noggins migrated to other islands, a select few stayed, preferring the volcanic rumblings and charcoal caverns of Earth Island to any other. Over time, this group's appearance began to mirror its surroundings, transforming into fierce and fiery Epics that now roam free.",2,1,4,reegs2712,2018,,0,
3,Epic Toe Jammer,https://mysingingmonsters.fandom.com/wiki/Epic_Toe_Jammer,Plant&Cold&Air&Water&Gold&Oasis&Psychic&Bone&,All:Do&All:Ockulo Tree&All:The Thunker&All:Sweetstreamz Tree&,"Epic Toe Jammers are descendants of a small stubbing of Commons that preferred to dwell in the unexplored sea floor of the living ocean. Slowly these bottomfeeders adapted to the murky depths, growing long claws to anchor themselves to the sand below. The surrounding darkness has made the Epic Toe Jammer less reliant on its vision - Instead, it has grown a crown of anemone to camouflage itself from unwanted guests that lurk out of sight.",2,1,4,Tatta_key 4 KEVIN:))))))),2018,,0,
4,Epic Mammott,https://mysingingmonsters.fandom.com/wiki/Epic_Mammott,Plant&Cold&Air&Earth&Shugabush&Gold&Oasis&Light&Faerie&,Plant Island:Wubbox&Cold Island:Wubbox&Air Island:Wubbox&Earth Island:Wubbox&Fire Oasis:Sneyser&Light Island:Gob&Faerie Island:HippityHop&Shugabush Island:Shugabush&All:Smunkit&All:Cold Globe&All:Star Rocks&,"Mammotts may not shovel snow, but Epic Mammotts sure do! This many-limbed Monster has evolved to become the ultimate snow shoveling machine. Four furry arms for maximum snow removal, pointed claws and horns to crack stubborn ice, and floppy ears to protect its delicate eyes from rogue snowballs make Epic Mammott the ideal neighbor.",2,1,4,potawatomi,2018,,0,
5,Rare Tweedle,https://mysingingmonsters.fandom.com/wiki/Rare_Tweedle,Cold&Air&Water&Earth&Gold&Haven&Oasis&,All:Tweedle&Cold Island:Potbelly&Water Island:Potbelly&Earth Island:Potbelly&Fire Haven:Potbelly&Air Island:Noggin&Water Island:Noggin&Earth Island:Noggin&Fire Haven:Noggin&Cold Island:Toe Jammer&Air Island:Toe Jammer&Water Island:Toe Jammer&Fire Oasis:Toe Jammer&Cold Island:Mammott&Air Island:Mammott&Earth Island:Mammott&Fire Oasis:Mammott&Fire Haven:Kayna&Fire Oasis:Kayna&,"Like their Common cousins, Rare Tweedles circulate gossip and rumors with much gusto. As they flit from tree to tree, sap, leaves and other debris become wound around their antlers and coalesce. Never ones to miss an opportunity, they then harvest the malleable material and use it for craft-making (macrame is a popular medium). It's still up in the Air whether these artworks actually carry secret messages that only a fellow Rare Tweedle can understand.",2,1,4,cool boy,2015,,0,
6,Rare Potbelly,https://mysingingmonsters.fandom.com/wiki/Rare_Potbelly,Plant&Cold&Water&Earth&Shugabush&Gold&Haven&Light&Psychic&,All:Potbelly&Plant Island:Noggin&Water Island:Noggin&Earth Island:Noggin&Fire Haven:Noggin&Plant Island:Mammott&Cold Island:Mammott&Earth Island:Mammott&Light Island:Mammott&Shugabush Island:Mammott&Plant Island:Toe Jammer&Cold Island:Toe Jammer&Water Island:Toe Jammer&Psychic Island:Toe Jammer&Cold Island:Tweedle&Water Island:Tweedle&Earth Island:Tweedle&Fire Haven:Tweedle&Fire Haven:Kayna&Light Island:Kayna&Psychic Island:Kayna&Shugabush Island:Furcorn&Shugabush Island:Oaktopus&Light Island:Fluoress&Psychic Island:Theremind&,"Can you spot the Rare Potbelly?... No seriously, those weights are pretty heavy, and it needs a spotter. This Monster is focused on self-improvement wherever possible, which sets it apart from the garden variety that's more than happy to remain languid and pudgy. Maintaining its six-pack and getting regular braces adjustments are of the utmost priority. Because of its fixation on fitness, the Rare Potbelly is hard-pressed to stay in one place for too long, but if you plant the idea in their multiple heads that it can exercise on your islands as much as it wants, it will stick around.",1,1,9,MB75,2015,,0,
7,Rare Noggin,https://mysingingmonsters.fandom.com/wiki/Rare_Noggin,Plant&Air&Water&Earth&Gold&Haven&Faerie&Bone&,Air Island:Tweedle&Water Island:Tweedle&Earth Island:Tweedle&Fire Haven:Tweedle&Plant Island:Potbelly&Water Island:Potbelly&Earth Island:Potbelly&Fire Haven:Potbelly&All:Noggin&Plant Island:Toe Jammer&Air Island:Toe Jammer&Water Island:Toe Jammer&Bone Island:Toe Jammer&Plant Island:Mammott&Air Island:Mammott&Earth Island:Mammott&Faerie Island:Mammott&Fire Haven:Kayna&Faerie Island:Kayna&Bone Island:Kayna&Faerie Island:Floot Fly&Bone Island:Clackula&,"After scouring the Monster World for what felt like forever, the Rare Noggin has been unearthed. Not satisfied with a simple existence as a musical rock, this capricious creature reinvented itself as the building block of an exotic edifice. Because of their limited maneuverability, it's unclear whether a group of Rare Noggins could ever actually cooperate to build anything... perhaps a more down-to-Earth goal would be to just keep the rhythm for its fellow Monsters.",2,1,4,Coke_Can,2015,,0,
8,Rare Toe Jammer,https://mysingingmonsters.fandom.com/wiki/Rare_Toe_Jammer,Plant&Cold&Air&Water&Gold&Oasis&Psychic&Bone&,Cold Island:Tweedle&Air Island:Tweedle&Water Island:Tweedle&Fire Oasis:Tweedle&Plant Island:Potbelly&Cold Island:Potbelly&Water Island:Potbelly&Psychic Island:Potbelly&Plant Island:Noggin&Air Island:Noggin&Water Island:Noggin&Bone Island:Noggin&All:Toe Jammer&Plant Island:Mammott&Cold Island:Mammott&Air Island:Mammott&Fire Oasis:Mammott&Fire Oasis:Kayna&Psychic Island:Kayna&Bone Island:Kayna&Psychic Island:Theremind&Bone Island:Clackula&,"To call the Rare Toe Jammer a marshmallow enthusiast would be a profound understatement. It gobbles them up at every opportunity, but thanks to a curious chemical reaction that takes place inside the Monster, they drift to its outer membrane and protrude at all angles. The Rare Toe Jammer's shifting coloration may be a product of this same internal process, but while some believe that this theory holds Water, others claim it's just a phase.",2,1,4,YelmutLifeForm2007,2015,,0,
9,Rare Mammott,https://mysingingmonsters.fandom.com/wiki/Rare_Mammott,Plant&Cold&Air&Earth&Shugabush&Gold&Oasis&Light&Faerie&,All:Mammott&Cold Island:Tweedle&Air Island:Tweedle&Earth Island:Tweedle&Fire Oasis:Tweedle&Plant Island:Potbelly&Cold Island:Potbelly&Earth Island:Potbelly&Light Island:Potbelly&Shugabush Island:Potbelly&Plant Island:Noggin&Air Island:Noggin&Earth Island:Noggin&Faerie Island:Noggin&Plant Island:Toe Jammer&Cold Island:Toe Jammer&Air Island:Toe Jammer&Fire Oasis:Toe Jammer&Fire Oasis:Kayna&Light Island:Kayna&Faerie Island:Kayna&Shugabush Island:Deedge&Shugabush Island:PomPom&Light Island:Fluoress&Faerie Island:Floot Fly&,"Given the Mammott's range across several habitats, one can expect to catch the Common Cold Elemental many times. The Rare Mammott is a Monster of a different color; it is a master of hide-and-seek and uses its stripes to camouflage seamlessly with its surroundings. It's even been known to taunt other Monsters by using its talent to throw its rumbly voice halfway across an island. The most resourceful will learn that the Rare Mammott can be caught when given the Cold shoulder.",2,1,4,Kiba and akamaru,2015,,0,
